,UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS,REGIAO
199,AM,3,0,4,2.0,846,953.3235153551476,1.2993172242445268,N
200,AM,3,1,1,1.0,34494,26.08594652858714,3.744793137975069,N
201,AM,3,1,1,2.0,23051,25.01713814929871,4.533573234758033,N
202,AM,3,1,2,1.0,3523,156.2383076997151,4.335732029147228,N
203,AM,3,1,2,2.0,1028,155.25442867708261,4.89134475221857,N
204,AM,3,1,3,1.0,4374,386.52769605025105,3.1862346203382623,N
205,AM,3,1,3,2.0,1013,363.5824077373732,3.5158260844436744,N
206,AM,3,1,4,1.0,3789,1098.4250917684326,1.3642738663478189,N
207,AM,3,1,4,2.0,552,1075.652343203901,1.419470865851893,N
208,AM,4,0,1,1.0,63773,25.805823455351643,2.4289820131175093,N
209,AM,4,0,1,2.0,13773,24.97337269532987,2.649370807374325,N
210,AM,4,0,2,1.0,15323,168.191158849376,2.038715077277554,N
211,AM,4,0,2,2.0,1405,169.30179720645296,2.2507286141306744,N
212,AM,4,0,3,1.0,20313,415.7794814274287,2.182040289955805,N
213,AM,4,0,3,2.0,1972,421.2417162696874,2.1772654212608913,N
214,AM,4,0,4,1.0,42439,1061.575121469543,1.1694402974914884,N
215,AM,4,0,4,2.0,9306,999.9733027349057,1.1741966000600448,N
216,AM,4,1,1,1.0,46404,27.181146652985596,2.843135845938252,N
217,AM,4,1,1,2.0,25551,26.06156440615885,3.2524069823372614,N
218,AM,4,1,2,1.0,6799,160.2889918592061,2.7831082397368068,N
219,AM,4,1,2,2.0,1046,154.5256811118475,3.2022348655773487,N
220,AM,4,1,3,1.0,10841,434.1816144901183,2.6187759801360606,N
221,AM,4,1,3,2.0,1722,440.57714769109026,2.614620580751435,N
222,AM,4,1,4,1.0,18179,1122.7076299189553,1.223427385254688,N
223,AM,4,1,4,2.0,3766,1094.0678612706247,1.247217815392961,N
224,AM,5,0,1,1.0,3445,31.153667455592302,2.070946431321454,N
