,UF,FX_ANO_CADASTRO_FAM,FX_RFPC,CO_PRINCIPAL_TRAB_MEMB,CO_SABE_LER_ESCREVER_MEMB,SIT_ATUALIZACAO,REG,IDADE
410,AC,4,1,6.0,1.0,1,3,35.5
411,AC,4,1,7.0,1.0,0,252,31.188649574212956
412,AC,4,1,7.0,1.0,1,664,33.627696247271416
413,AC,4,1,7.0,2.0,0,46,42.629464285714285
414,AC,4,1,7.0,2.0,1,134,42.12548603746907
415,AC,4,1,8.0,1.0,0,6,34.44444444444444
416,AC,4,1,8.0,1.0,1,16,25.041666666666668
417,AC,4,1,8.0,2.0,0,1,39.0
418,AC,4,1,8.0,2.0,1,2,31.0
419,AC,4,1,10.0,1.0,0,13,28.12121212121212
420,AC,4,1,10.0,1.0,1,6,25.125
421,AC,4,1,11.0,1.0,0,3,20.0
422,AC,4,1,11.0,1.0,1,5,24.444444444444443
423,AC,4,2,1.0,1.0,0,650,35.34901060771025
424,AC,4,2,1.0,1.0,1,847,35.0703560454943
425,AC,4,2,1.0,2.0,0,65,53.60290404040404
426,AC,4,2,1.0,2.0,1,74,45.18369963369963
427,AC,4,2,2.0,1.0,0,47,39.02680652680653
428,AC,4,2,2.0,1.0,1,48,37.67902930402931
429,AC,4,2,2.0,2.0,0,3,58.25
430,AC,4,2,2.0,2.0,1,8,40.583333333333336
431,AC,4,2,3.0,1.0,0,41,33.09288537549407
432,AC,4,2,3.0,1.0,1,52,34.9974025974026
433,AC,4,2,3.0,2.0,0,1,31.0
434,AC,4,2,4.0,1.0,0,109,36.95987987987988
435,AC,4,2,4.0,1.0,1,81,33.381409857812045
436,AC,4,2,4.0,2.0,0,6,41.6
437,AC,4,2,4.0,2.0,1,7,36.0
438,AC,4,2,5.0,1.0,0,7,39.083333333333336
439,AC,4,2,5.0,1.0,1,9,29.55
440,AC,4,2,6.0,1.0,0,2,35.5
441,AC,4,2,6.0,1.0,1,4,28.0
442,AC,4,2,7.0,1.0,0,6,33.5
443,AC,4,2,7.0,1.0,1,8,28.866666666666664
444,AC,4,2,7.0,2.0,1,6,41.375
445,AC,4,2,8.0,1.0,0,11,37.986666666666665
446,AC,4,2,8.0,1.0,1,13,29.4047619047619
447,AC,4,2,10.0,1.0,0,7,25.25
448,AC,4,2,10.0,1.0,1,4,25.75
449,AC,4,2,11.0,1.0,0,4,22.75
450,AC,4,2,11.0,1.0,1,1,18.0
451,AC,4,3,1.0,1.0,0,992,40.87322903503458
452,AC,4,3,1.0,1.0,1,606,38.28569959480304
453,AC,4,3,1.0,2.0,0,112,50.31880877742947
454,AC,4,3,1.0,2.0,1,57,50.621428571428574
455,AC,4,3,2.0,1.0,0,92,47.13759726112667
456,AC,4,3,2.0,1.0,1,29,39.48765432098766
457,AC,4,3,2.0,2.0,0,9,58.42857142857143
458,AC,4,3,2.0,2.0,1,7,42.9
459,AC,4,3,3.0,1.0,0,163,34.76550324675325
460,AC,4,3,3.0,1.0,1,116,34.0921968787515
461,AC,4,3,3.0,2.0,0,10,37.595238095238095
462,AC,4,3,3.0,2.0,1,6,37.1
463,AC,4,3,4.0,1.0,0,597,37.99081264989526
464,AC,4,3,4.0,1.0,1,341,35.082539893968466
465,AC,4,3,4.0,2.0,0,22,46.979166666666664
466,AC,4,3,4.0,2.0,1,20,40.269999999999996
467,AC,4,3,5.0,1.0,0,14,32.702380952380956
468,AC,4,3,5.0,1.0,1,3,44.0
469,AC,4,3,5.0,2.0,0,2,46.5
470,AC,4,3,6.0,1.0,0,20,40.800000000000004
471,AC,4,3,6.0,1.0,1,9,43.0
472,AC,4,3,6.0,2.0,0,1,69.0
473,AC,4,3,6.0,2.0,1,1,52.0
474,AC,4,3,7.0,1.0,0,22,46.94
475,AC,4,3,7.0,1.0,1,12,31.875
476,AC,4,3,7.0,2.0,0,8,55.111111111111114
477,AC,4,3,7.0,2.0,1,1,63.0
478,AC,4,3,8.0,1.0,0,67,42.08059139784946
479,AC,4,3,8.0,1.0,1,77,38.110997732426306
480,AC,4,3,8.0,2.0,0,2,49.5
481,AC,4,3,8.0,2.0,1,2,55.0
482,AC,4,3,9.0,1.0,0,2,36.5
483,AC,4,3,9.0,1.0,1,1,19.0
484,AC,4,3,10.0,1.0,0,29,28.60185185185185
485,AC,4,3,10.0,1.0,1,5,21.4
486,AC,4,3,11.0,1.0,0,6,19.833333333333332
487,AC,4,3,11.0,1.0,1,1,20.0
488,AC,4,4,1.0,1.0,0,420,45.26063681511252
489,AC,4,4,1.0,1.0,1,125,45.548967698967694
490,AC,4,4,1.0,2.0,0,61,54.028260869565216
491,AC,4,4,1.0,2.0,1,11,52.875
492,AC,4,4,2.0,1.0,0,49,43.61784511784512
493,AC,4,4,2.0,1.0,1,7,43.5
494,AC,4,4,2.0,2.0,0,6,50.375
495,AC,4,4,2.0,2.0,1,2,59.0
496,AC,4,4,3.0,1.0,0,127,35.85972316494964
497,AC,4,4,3.0,1.0,1,59,34.16726190476191
