UF,FX_ANO_CADASTRO_FAM,SIT_ATUALIZACAO,FX_RFPC,CO_LOCAL_DOMIC_FAM,REG,VL_RENDA_MEDIA_FAM,QTD_PESSOAS
AL,2,0,3,2.0,1452,364.3904958677686,3.0392561983471076
AL,2,0,4,1.0,2945,953.6050933786078,1.3436332767402377
AL,2,0,4,2.0,969,941.4035087719299,1.4674922600619196
AL,2,1,1,1.0,41829,35.57091969686103,3.1944105763943678
AL,2,1,1,2.0,25372,24.520928582689578,3.5911634873088443
AL,2,1,2,1.0,3446,155.58792803250145,3.6201392919326754
AL,2,1,2,2.0,953,160.58866736621195,4.749213011542498
AL,2,1,3,1.0,6679,388.71971852073665,3.0694714777661325
AL,2,1,3,2.0,2222,375.02925292529255,3.407290729072907
AL,2,1,4,1.0,2490,1050.7710843373493,1.383132530120482
AL,2,1,4,2.0,707,1052.6407355021217,1.6223479490806223
AL,3,0,1,1.0,22956,40.823575535807635,2.819785676947203
AL,3,0,1,2.0,9693,29.43577839678118,2.76869906117817
AL,3,0,2,1.0,2668,152.70989505247377,2.964392803598201
AL,3,0,2,2.0,320,156.175,3.240625
AL,3,0,3,1.0,3902,375.8772424397745,2.6068682726806767
AL,3,0,3,2.0,866,390.28060046189375,2.727482678983834
AL,3,0,4,1.0,5945,991.9989907485282,1.2719932716568545
AL,3,0,4,2.0,1573,999.575333757152,1.396694214876033
AL,3,1,1,1.0,35809,35.38571308888827,2.986427992962663
AL,3,1,1,2.0,22412,25.318266999821525,3.147554881313582
AL,3,1,2,1.0,2222,152.1989198919892,3.1035103510351036
AL,3,1,2,2.0,530,154.23207547169812,3.7943396226415094
AL,3,1,3,1.0,4257,403.51021846370685,2.8416725393469577
AL,3,1,3,2.0,1276,384.00705329153607,3.1716300940438873
AL,3,1,4,1.0,3939,1095.1896420411272,1.2652957603452653
AL,3,1,4,2.0,870,1112.767816091954,1.4666666666666666
AL,4,0,1,1.0,42130,41.556919060052216,2.072300023736055
AL,4,0,1,2.0,13778,31.38445347655683,1.975032660763536
AL,4,0,2,1.0,7139,161.75038520801232,2.0903487883457066
AL,4,0,2,2.0,741,165.221322537112,2.0121457489878543
AL,4,0,3,1.0,16261,407.61466084496647,2.257056761576779
AL,4,0,3,2.0,2542,416.0940204563336,2.447285601888277
AL,4,0,4,1.0,36151,1014.0033470720035,1.220574811208542
AL,4,0,4,2.0,9666,991.4937926753569,1.3097454996896338
AL,4,1,1,1.0,52242,37.7595229891658,2.328949887064048
AL,4,1,1,2.0,24007,27.12746282334319,2.4777356604323737
AL,4,1,2,1.0,4498,156.8808359270787,2.3094708759448643
AL,4,1,2,2.0,677,155.05022156573116,2.471196454948301
AL,4,1,3,1.0,11671,436.6302801816468,2.5157227315568504
AL,4,1,3,2.0,2465,441.6060851926978,2.7322515212981746
AL,4,1,4,1.0,16697,1089.940408456609,1.2493861172665748
AL,4,1,4,2.0,3899,1094.622210823288,1.3875352654526802
AL,5,0,1,1.0,2534,41.851617995264405,1.9230465666929755
AL,5,0,1,2.0,796,33.75,1.8190954773869348
AL,5,0,2,1.0,697,163.56527977044476,2.1793400286944045
AL,5,0,2,2.0,88,168.26136363636363,2.102272727272727
AL,5,0,3,1.0,2048,422.1982421875,2.4755859375
AL,5,0,3,2.0,327,423.4097859327217,2.6788990825688073
AL,5,0,4,1.0,3657,1065.3748974569319,1.3191140278917146
AL,5,0,4,2.0,904,1045.5519911504425,1.4369469026548674
AL,5,1,1,1.0,57414,38.69585815306371,1.825652279931724
AL,5,1,1,2.0,23618,31.43991870607164,1.8078160724870862
AL,5,1,2,1.0,9805,162.46455889852118,1.8960734319224886
AL,5,1,2,2.0,1898,162.2086406743941,1.7128556375131718
AL,5,1,3,1.0,18912,410.2735300338409,2.3155668358714045
AL,5,1,3,2.0,3194,413.59517845961176,2.4978083907326236
AL,5,1,4,1.0,15482,1106.2750290660122,1.343366490117556
AL,5,1,4,2.0,3290,1120.7978723404256,1.4513677811550152
AM,1,0,1,1.0,15961,47.09379111584487,3.8439947371718564
AM,1,0,1,2.0,3639,34.976916735366856,4.429513602638087
AM,1,0,2,1.0,5063,151.6148528540391,4.057080782144974
AM,1,0,2,2.0,663,156.78129713423832,4.917043740573153
AM,1,0,3,1.0,5254,366.0272173582033,3.069661210506281
